start	end	text
0	6400	Mulheres na Tecnologia, você está ouvindo Tribu do CEI Podcast.
6400	9440	Aqui é Cley Van Koff e eu já estou terminando.
9440	12960	Aqui é Sebastião Helso e meu lema é compilou, comitou.
12960	17040	Oi, sou a programadora BR para falar um pouco da minha vida, ó.
17040	20160	Antes que alguém pergunte, eu não faço o sistema.
24160	26960	Episódio 13, a programadora BR.
30000	43120	Para esclarecer para o pessoal que está ouvindo, o perfil é um fake de você mesmo?
43120	44720	Como é que esse negócio aí fala pra real?
44720	50720	Então, na verdade, o perfil do Twitter eu falo coisas da minha vida, do meu dia a dia,
50720	55520	acontecimentos lá na empresa que eu trabalho e também de alguns filas que eu faço.
55520	59920	Só que no meu perfil, com o meu nome verdadeiro, estava me causando alguns transtornos,
59920	62560	por eu trabalhar em uma empresa grande com bastante funcionário,
62560	67440	às vezes eu queria desabafar com alguma situação e o povo que me acompanhava,
67440	71040	que me seguia e que me conhecia pessoalmente, eles ficavam meio chateados.
71040	75840	Então, quer dizer, eu queria continuar falando as mesmas coisas, mas eu não queria me identificar.
75840	81920	Aí eu peguei, exclui o meu perfil anterior e criei esse perfil, o login, foi meio que automático.
81920	85920	A hora que fui criar lá, eu já pensei, ah, eu vou falar de programação e dar um programador.
85920	89120	Eu não vou criar só uma programadora, vou colocar alguma outra poesinha.
89120	93920	Eu não quis colocar a sigla do meu estalo, porque aqui no meu estalo eu não conheço mais nenhuma programadora.
93920	100000	E aí foi programadora BR para ficar uma coisa maior e para focar mesmo no lado da programação.
100000	102880	É tipo um entretenimento para mim mesmo, assim.
102880	104320	Vou desabar pelo lado.
104320	105680	Eu sou válvula de escada.
105680	106160	Isso.
106160	107600	Programadora BR, e aí?
107600	110080	Conta para a gente, como você decidiu virar a programadora?
110080	116000	Eu nem me lembro de uma casa da minha vida que eu, tipo, eu falei, não, você é programadora.
116000	117200	Isso nunca existiu para mim.
117200	118400	Foi uma coisa automática.
118400	124800	Sempre gostei de informática, desde pequeno, e assim, nunca pensei na minha vida trabalhar com outra coisa.
124800	128400	Mas também nunca parei para pensar que eu fosse escolher esse programador.
128400	130080	Foi na base da curiosidade.
130080	134960	Meu pai era comerciante, tinha uns computadores antigos daqueles dois, oito, meio e tal.
135040	140240	E aí eu sempre mexi nesses computadores, com 14, 15 anos, o que tinha que montado,
140240	142640	e a ver como funcionava, com a curiosidade de treino.
142640	146720	Assim, eu me lembro de um certo estado de outra coisa, eu não sei, eu mexei com um computador,
146720	148080	desde pequeno.
148080	153520	Então, aí, quando o meu pai, ele foi trocando as máquinas da empresa, essas velhas foram ficando comigo.
153520	156480	Naquela época na internet, não tinha na minha cidade nada, né?
156480	158640	E assim, a princípio começou com hardware mesmo.
158640	161440	Eu comecei montando computador, assim, de pequeno.
161440	167920	E aí, foi passando o P, eu já com uns 16, 17 anos, me lembro muito bem, exatamente.
167920	173280	Minha mãe também comerciante, ela tinha uma videococadora, e não tinha software nenhum para gerenciar.
173280	175600	Aí eu me deu uma assilha, deve existir alguma coisa.
175600	179120	Aí eu peguei, fui atrás, e a gente comprou uma licença de um só.
179120	181920	Eu olhava aqui no live, falava, meu Deus, como funciona isso?
181920	184000	Eu era assim, eu já tinha internet.
184000	186880	Eu lembro que é como desenvolver um programa.
